site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
3490,-,2022-06-07,15,5.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-07,16,8.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-07,17,9.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-07,18,6.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-07,19,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-07,20,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-07,21,6.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-07,22,7.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-07,23,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,0,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,1,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,2,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,3,5.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,4,6.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,5,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,6,2.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,7,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,8,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,9,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,10,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,11,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,12,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,13,2.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,14,1.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,15,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,16,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,17,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,18,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,19,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,20,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,21,5.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,22,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-08,23,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-09,0,5.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
