,site,value,variable,quality,dateC
169,3154,4.7,PMTEOM,0.0,2020-01-08 01:00:00
170,3154,4.0,PMTEOM,0.0,2020-01-08 02:00:00
171,3154,3.5,PMTEOM,0.0,2020-01-08 03:00:00
172,3154,49.3,PMTEOM,0.0,2020-01-08 04:00:00
173,3154,30.1,PMTEOM,0.0,2020-01-08 05:00:00
174,3154,20.2,PMTEOM,0.0,2020-01-08 06:00:00
175,3154,12.9,PMTEOM,0.0,2020-01-08 07:00:00
176,3154,9.5,PMTEOM,0.0,2020-01-08 08:00:00
177,3154,7.7,PMTEOM,0.0,2020-01-08 09:00:00
178,3154,6.8,PMTEOM,0.0,2020-01-08 10:00:00
179,3154,5.7,PMTEOM,0.0,2020-01-08 11:00:00
180,3154,6.5,PMTEOM,0.0,2020-01-08 12:00:00
181,3154,5.0,PMTEOM,0.0,2020-01-08 13:00:00
182,3154,7.4,PMTEOM,0.0,2020-01-08 14:00:00
183,3154,8.4,PMTEOM,0.0,2020-01-08 15:00:00
184,3154,8.7,PMTEOM,0.0,2020-01-08 16:00:00
185,3154,10.5,PMTEOM,0.0,2020-01-08 17:00:00
186,3154,6.7,PMTEOM,0.0,2020-01-08 18:00:00
187,3154,6.5,PMTEOM,0.0,2020-01-08 19:00:00
188,3154,5.3,PMTEOM,0.0,2020-01-08 20:00:00
189,3154,5.0,PMTEOM,0.0,2020-01-08 21:00:00
190,3154,4.6,PMTEOM,0.0,2020-01-08 22:00:00
191,3154,2.8,PMTEOM,0.0,2020-01-08 23:00:00
192,3154,4.8,PMTEOM,0.0,2020-01-09 00:00:00
193,3154,4.4,PMTEOM,0.0,2020-01-09 01:00:00
194,3154,4.3,PMTEOM,0.0,2020-01-09 02:00:00
195,3154,5.7,PMTEOM,0.0,2020-01-09 03:00:00
196,3154,3.4,PMTEOM,0.0,2020-01-09 04:00:00
197,3154,5.0,PMTEOM,0.0,2020-01-09 05:00:00
198,3154,4.5,PMTEOM,0.0,2020-01-09 06:00:00
199,3154,11.4,PMTEOM,0.0,2020-01-09 07:00:00
200,3154,9.0,PMTEOM,0.0,2020-01-09 08:00:00
201,3154,5.3,PMTEOM,0.0,2020-01-09 09:00:00
202,3154,7.9,PMTEOM,0.0,2020-01-09 10:00:00
203,3154,6.6,PMTEOM,0.0,2020-01-09 11:00:00
204,3154,5.9,PMTEOM,0.0,2020-01-09 12:00:00
205,3154,7.5,PMTEOM,0.0,2020-01-09 13:00:00
206,3154,13.9,PMTEOM,0.0,2020-01-09 14:00:00
207,3154,9.4,PMTEOM,0.0,2020-01-09 15:00:00
208,3154,7.0,PMTEOM,0.0,2020-01-09 16:00:00
209,3154,5.3,PMTEOM,0.0,2020-01-09 17:00:00
210,3154,10.1,PMTEOM,0.0,2020-01-09 18:00:00
