,site,ws,wd,units,name,latitude,longitude,dateC
135775,2849,1.06,165.66901,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 09:00:00
135776,2849,1.72,185.132,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 10:00:00
135777,2849,2.15,202.364,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 11:00:00
135778,2849,2.14,206.605,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 12:00:00
135779,2849,1.86,208.593,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 13:00:00
135780,2849,2.88,220.972,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 14:00:00
135781,2849,3.67,221.905,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 15:00:00
135782,2849,1.51,249.24001,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 16:00:00
135783,2849,1.71,30.9151,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 17:00:00
135784,2849,1.5,35.776402,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 18:00:00
135785,2849,2.12,32.886002,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 19:00:00
135786,2849,1.62,46.473801,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 20:00:00
135787,2849,1.25,73.020401,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 21:00:00
135788,2849,1.9,29.7304,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 22:00:00
135789,2849,1.52,39.011299,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 23:00:00
135790,2849,1.4,29.7817,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 00:00:00
135791,2849,1.45,45.403801,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 01:00:00
135792,2849,1.49,38.660999,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 02:00:00
135793,2849,2.18,38.455601,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 03:00:00
135794,2849,1.76,32.506699,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 04:00:00
135795,2849,1.46,18.1126,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 05:00:00
135796,2849,0.85,38.033798,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 06:00:00
135797,2849,1.12,24.889601,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 07:00:00
135798,2849,0.98,38.313301,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 08:00:00
135799,2849,0.44,84.307701,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 09:00:00
135800,2849,0.32,62.749001,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 10:00:00
135801,2849,0.41,173.55901,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 11:00:00
135802,2849,0.22,256.58099,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 12:00:00
135803,2849,0.57,257.297,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 13:00:00
135804,2849,0.22,262.41,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 14:00:00
135805,2849,0.61,33.0993,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 15:00:00
135806,2849,1.68,26.2943,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 16:00:00
135807,2849,1.86,42.778301,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 17:00:00
135808,2849,3.5,41.1824,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 18:00:00
135809,2849,4.05,30.8976,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 19:00:00
135810,2849,0.82,85.531097,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 20:00:00
135811,2849,0.82,38.2841,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 21:00:00
135812,2849,0.4,65.977203,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 22:00:00
135813,2849,3.06,39.914902,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-05 23:00:00
135814,2849,2.95,36.776299,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 00:00:00
135815,2849,1.01,76.170601,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 01:00:00
135816,2849,0.84,63.3335,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 02:00:00
135817,2849,0.65,45.519199,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 03:00:00
135818,2849,1.01,36.8396,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 04:00:00
135819,2849,2.09,30.208099,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 05:00:00
135820,2849,1.72,36.848099,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 06:00:00
135821,2849,2.09,37.321899,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 07:00:00
135822,2849,1.44,58.682201,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 08:00:00
135823,2849,1.89,218.821,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 09:00:00
135824,2849,2.41,224.32401,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 10:00:00
135825,2849,1.98,225.179,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 11:00:00
135826,2849,3.92,210.41701,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 12:00:00
135827,2849,3.44,225.64101,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 13:00:00
135828,2849,4.47,222.61301,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 14:00:00
135829,2849,4.8,219.83701,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 15:00:00
135830,2849,3.2,225.41499,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-06 16:00:00
