pm_value,ws,wd
6.9,6.68,158.60001
5.2,5.87,171.39999
3.6,8.18,163.0
5.0,8.29,154.8
4.7,7.83,153.2
2.8,8.87,157.2
0.7,9.9,161.3
6.0,9.79,162.8
3.9,8.18,166.0
1.3,7.72,153.10001
7.3,9.1,160.5
9.4,7.72,169.5
7.2,7.95,153.0
5.8,8.41,158.5
4.3,10.36,161.0
4.2,11.86,161.60001
4.6,12.9,152.5
6.0,15.55,150.5
3.6,13.36,160.5
1.7,14.05,165.5
2.3,11.52,165.7
5.0,14.74,160.5
6.1,13.01,192.3
13.3,9.44,202.10001
21.6,6.68,193.8
22.1,4.95,180.5
14.6,4.61,173.7
12.9,5.18,155.60001
15.7,4.95,171.39999
14.1,6.79,184.39999
14.1,6.56,187.60001
14.7,6.91,201.3
8.8,7.83,197.3
9.3,8.64,190.0
10.4,6.91,179.2
15.7,7.6,168.89999
22.8,8.29,200.7
20.9,9.56,210.8
20.4,7.83,193.5
23.0,7.6,198.5
22.2,7.02,218.3
26.3,4.84,180.3
25.2,5.64,209.39999
19.2,3.22,237.7
18.3,3.69,204.60001
19.0,1.84,163.2
24.3,2.19,177.10001
22.9,2.07,164.3
17.7,1.73,134.10001
25.0,1.5,134.7
16.8,1.61,119.1
17.2,2.3,129.10001
18.9,2.19,128.2
13.8,1.5,125.4
21.0,1.5,141.60001
18.3,1.04,93.0
22.5,1.27,61.099998
18.4,2.88,280.79999
17.5,2.19,8.3000002
19.8,1.15,345.39999
19.0,2.3,314.89999
23.7,2.19,345.89999
17.6,2.3,352.0
21.4,1.73,309.39999
27.3,2.42,312.10001
27.1,2.42,8.1999998
31.7,2.53,42.299999
21.5,1.73,350.29999
26.5,3.34,310.70001
16.0,4.03,13.2
16.2,3.11,57.799999
17.1,3.57,85.599998
16.0,2.76,98.5
15.1,1.84,145.8
14.3,2.19,140.0
13.7,1.15,158.10001
12.9,0.23,213.60001
13.6,0.35,268.89999
8.1,1.5,334.89999
17.2,2.07,92.199997
16.0,2.99,133.3
15.2,2.19,171.5
31.5,2.07,153.5
14.1,2.53,192.2
13.5,2.76,185.8
12.6,3.57,186.89999
10.3,3.22,198.3
11.2,2.65,217.89999
13.6,1.84,218.7
23.4,1.61,185.3
28.5,1.73,141.60001
33.0,2.19,137.7
32.6,2.53,126.8
23.3,2.3,137.60001
16.6,2.88,130.7
14.5,2.99,143.39999
15.4,1.73,150.8
15.7,2.19,166.2
16.8,4.95,163.89999
21.4,5.3,166.0
15.4,5.18,167.3
11.6,4.72,162.7
9.9,5.99,163.39999
14.4,5.87,170.8
14.4,5.41,173.8
9.5,7.14,179.2
6.9,7.6,181.2
9.0,6.79,191.10001
4.1,8.29,220.5
2.3,10.59,226.89999
1.2,9.56,233.5
-0.1,8.29,230.5
1.0,7.6,219.0
1.3,6.33,245.60001
2.4,6.33,231.39999
2.3,6.1,232.39999
2.4,6.33,224.3
1.9,5.3,226.5
2.6,4.49,228.3
1.6,4.15,226.5
1.0,2.99,225.89999
2.8,2.42,194.2
3.5,1.73,215.39999
5.3,1.84,143.60001
5.9,1.27,119.3
12.7,0.92,126.1
12.8,2.07,96.0
15.6,2.3,111.4
16.0,2.42,100.8
4.5,0.23,91.599998
4.8,2.53,332.0
7.9,4.38,317.70001
4.4,4.15,320.10001
3.6,6.22,334.70001
3.9,5.76,344.60001
1.6,6.22,332.10001
4.7,4.49,338.79999
6.8,4.72,337.0
8.7,4.49,336.70001
8.4,2.53,355.39999
4.6,3.69,353.70001
0.9,6.68,341.79999
1.7,6.22,338.79999
0.9,5.87,350.79999
1.3,6.45,346.0
2.2,6.91,342.39999
5.7,8.29,331.89999
4.0,8.75,340.70001
2.3,6.45,335.10001
2.9,7.25,339.70001
3.8,6.68,329.39999
3.6,5.87,336.39999
6.5,6.33,14.4
6.6,6.33,353.79999
4.5,3.22,3.5
7.2,4.38,311.60001
6.3,4.15,351.60001
3.6,4.61,32.799999
2.6,3.45,46.400002
2.0,1.96,67.300003
10.8,3.45,123.9
8.8,2.76,166.8
18.3,1.73,147.3
17.8,2.3,130.10001
18.8,2.53,128.2
13.5,2.76,130.89999
11.1,1.61,120.6
11.7,1.61,108.1
14.8,1.5,111.5
9.5,2.07,109.8
6.4,1.73,130.0
13.5,1.84,95.900002
9.8,1.96,86.400002
16.0,0.46,66.300003
17.8,1.61,299.10001
27.4,2.65,296.5
19.1,3.69,302.79999
21.1,3.34,12.5
18.4,3.8,349.60001
9.3,4.84,333.20001
15.3,5.18,318.39999
12.8,4.26,325.89999
11.3,4.03,5.4000001
8.8,3.57,11.7
11.8,1.96,3.2
14.3,1.84,337.20001
14.2,3.92,304.20001
13.2,3.92,316.79999
9.7,1.96,309.89999
13.3,1.73,329.0
15.2,0.81,238.7
17.8,0.81,241.7
20.9,0.23,236.0
21.0,0.58,163.39999
18.9,0.92,134.2
17.4,1.27,148.7
19.6,1.84,129.0
21.4,2.3,110.5
32.6,2.3,124.7
48.9,2.53,138.3
28.1,1.96,175.7
31.5,1.61,132.3
28.3,1.5,105.4
26.1,1.84,90.599998
30.1,1.61,130.2
29.1,1.15,105.6
18.2,2.19,131.0
24.0,2.76,132.10001
24.5,0.92,146.60001
34.4,0.81,107.2
40.0,1.04,212.60001
41.4,0.58,111.3
48.2,1.27,83.300003
38.3,0.92,46.700001
36.1,2.19,51.099998
34.7,0.35,215.8
34.5,1.27,295.79999
34.4,1.96,5.5
19.8,1.5,354.29999
23.3,0.81,247.7
25.3,0.92,350.89999
19.1,0.69,351.60001
30.2,0.12,161.5
27.5,1.15,344.29999
16.3,2.3,31.9
15.7,2.76,297.70001
21.1,3.34,321.89999
10.9,3.34,302.60001
15.3,2.88,292.39999
15.8,2.88,296.70001
13.5,1.73,345.70001
12.5,2.88,331.20001
13.9,2.3,12.0
22.2,2.07,14.7
28.4,0.46,7.0999999
41.4,0.58,280.70001
38.8,0.46,229.10001
50.7,0.92,119.6
54.6,2.07,110.1
39.8,1.38,129.60001
25.1,1.73,146.2
25.5,1.84,124.0
20.3,2.19,120.0
12.8,1.38,91.5
14.5,1.15,55.700001
13.8,2.07,51.299999
21.0,1.38,55.799999
24.8,0.69,349.79999
20.4,1.84,298.0
23.5,1.27,273.70001
26.8,1.15,214.3
25.7,0.46,2.4000001
30.1,3.69,271.20001
24.0,2.99,289.70001
26.7,1.38,242.0
28.2,2.19,197.2
33.2,1.73,209.0
37.4,0.81,229.10001
41.7,1.27,144.8
47.1,2.19,125.0
53.8,1.5,111.5
54.4,1.15,144.39999
51.4,0.69,117.7
49.8,0.69,23.5
54.6,0.46,338.39999
46.6,1.15,53.099998
45.9,0.92,32.5
43.0,0.81,4.8000002
43.1,1.15,307.79999
33.5,1.27,338.79999
28.0,1.96,343.60001
25.9,2.19,0.60000002
26.1,1.84,356.79999
24.6,2.99,5.6999998
25.6,3.8,331.60001
22.8,4.26,359.10001
23.5,3.34,340.39999
13.6,4.26,319.79999
12.1,4.15,317.0
12.5,4.15,299.5
15.4,1.04,293.20001
24.1,0.81,188.89999
29.6,0.81,199.5
35.8,1.38,152.39999
31.3,1.5,119.6
31.5,2.65,110.4
23.6,2.65,118.0
19.3,1.73,132.2
19.3,1.73,149.0
21.9,1.27,144.3
24.2,2.53,104.4
16.8,1.84,102.8
19.9,0.58,130.3
17.1,0.81,162.89999
37.4,1.27,74.5
33.3,1.27,40.400002
35.5,2.07,56.799999
31.2,1.04,96.400002
28.1,2.65,248.7
28.2,2.76,269.10001
41.6,1.84,169.60001
33.9,2.19,215.39999
29.2,2.53,200.5
26.7,2.3,181.60001
35.7,1.96,203.5
36.7,0.35,359.5
46.7,0.23,319.60001
48.8,1.04,85.400002
53.0,1.73,173.60001
59.9,0.35,226.0
69.6,0.23,306.10001
62.8,1.38,115.0
42.6,1.84,83.199997
30.7,1.27,88.5
31.5,0.81,112.7
29.2,0.46,207.2
32.8,0.58,319.5
32.6,0.69,198.2
38.1,0.46,295.5
38.1,1.27,330.39999
49.7,2.3,62.299999
46.1,1.27,29.4
41.0,0.46,57.5
41.7,2.65,277.0
52.0,2.3,306.20001
46.5,2.76,270.29999
47.5,2.07,268.10001
43.3,2.07,228.5
43.5,0.23,181.7
57.4,0.69,91.5
52.1,1.61,185.5
38.3,1.84,164.89999
22.2,1.5,208.8
16.3,1.27,193.39999
13.1,1.27,123.8
15.7,2.42,127.8
15.8,2.3,133.2
14.8,1.38,162.3
18.1,1.38,137.5
26.7,1.5,155.89999
35.5,2.19,122.0
52.8,2.19,118.3
85.2,1.84,110.9
53.3,2.3,153.10001
61.3,2.42,129.39999
52.0,1.96,167.60001
50.1,1.73,191.89999
50.7,1.38,185.0
60.2,2.3,310.20001
56.0,3.57,327.79999
49.4,4.03,322.60001
44.8,3.11,349.70001
49.0,2.53,9.6999998
39.1,3.11,8.8000002
28.9,3.34,2.4000001
31.2,3.34,4.6999998
27.6,3.69,11.0
30.7,3.69,8.5
31.1,2.19,330.39999
31.7,2.88,331.79999
35.8,2.65,345.79999
34.1,2.88,2.2
37.5,3.57,11.1
39.4,2.65,12.4
36.1,0.81,348.60001
34.9,0.58,268.89999
50.4,1.61,78.599998
47.0,2.99,118.0
40.0,1.04,210.2
33.9,4.26,215.39999
24.5,4.03,223.10001
26.4,4.95,238.60001
36.4,3.34,203.39999
37.4,3.69,182.0
35.8,3.92,151.89999
39.8,4.26,118.0
45.0,2.53,147.7
50.2,0.81,140.10001
50.4,1.96,143.5
53.2,1.5,175.0
49.3,2.42,134.8
32.3,3.57,143.8
31.6,3.22,152.0
27.5,2.88,159.10001
15.8,2.42,157.5
18.6,1.27,129.2
18.7,1.84,113.9
22.9,2.76,118.4
13.4,2.53,111.9
16.3,3.45,129.60001
26.7,4.49,145.7
17.9,5.64,159.2
14.1,5.41,154.3
20.6,6.1,179.7
12.8,6.45,192.2
11.0,5.76,201.0
19.2,4.38,195.3
11.7,5.76,187.0
18.6,4.84,186.3
17.9,4.95,192.39999
14.8,5.76,155.8
12.6,6.79,142.39999
9.3,9.33,154.39999
9.2,9.21,154.3
6.4,8.75,153.8
4.9,10.48,147.7
4.6,10.13,143.60001
3.8,11.06,143.3
4.0,12.9,146.5
3.3,12.55,147.3
4.4,12.55,147.7
2.2,12.9,151.5
-0.2,10.82,194.2
0.8,5.07,183.7
1.6,4.15,160.10001
1.7,7.37,143.7
2.7,6.45,140.7
3.3,6.91,140.5
-0.3,7.49,151.7
2.7,6.91,151.8
4.4,7.14,160.10001
4.2,6.91,144.89999
8.6,6.1,131.89999
6.9,4.84,156.60001
5.6,7.14,143.60001
5.1,7.37,127.8
3.0,7.6,120.7
1.9,8.87,134.89999
2.5,9.79,148.2
3.9,13.01,147.89999
4.5,13.24,147.5
5.1,13.13,153.10001
3.3,12.09,154.2
2.0,11.29,152.10001
1.2,10.71,153.5
-0.7,9.1,159.89999
1.9,9.79,163.8
4.4,10.36,171.10001
3.5,8.41,172.5
1.5,8.98,171.60001
1.8,9.33,184.10001
2.5,9.33,196.60001
4.8,7.72,200.3
3.3,8.87,211.60001
2.7,11.4,229.10001
8.8,9.9,237.39999
8.3,8.64,211.7
7.6,7.02,204.39999
7.7,6.33,201.7
10.0,4.15,176.3
14.7,4.26,169.5
10.4,4.72,173.39999
5.6,5.07,161.8
3.4,5.3,135.0
6.3,5.87,148.89999
5.1,7.49,160.10001
3.9,10.36,163.39999
0.2,11.17,164.3
-2.8,10.36,165.3
-0.9,9.67,173.60001
2.6,9.21,177.5
1.7,8.87,189.89999
-0.6,8.06,215.39999
0.4,8.29,206.5
0.7,8.41,226.39999
0.2,7.83,241.2
2.5,7.6,221.60001
3.3,5.41,234.0
2.8,5.99,225.5
6.8,6.79,216.8
6.3,8.06,210.39999
4.1,8.06,200.3
3.8,5.99,211.10001
2.5,5.87,217.2
2.3,4.72,205.8
1.2,6.33,195.0
1.3,7.14,188.2
1.9,5.64,197.39999
-0.3,4.26,195.2
2.2,3.45,183.8
2.3,4.26,196.8
1.8,5.18,193.3
0.9,4.03,197.10001
1.9,2.42,223.3
2.2,1.04,236.5
0.6,1.84,199.89999
2.6,1.38,286.20001
3.4,3.8,332.39999
2.8,4.61,325.5
0.6,5.3,333.70001
-0.9,4.95,333.29999
-0.8,5.64,321.79999
1.5,4.15,325.70001
1.9,3.69,331.89999
2.8,2.99,6.9000001
4.9,1.73,290.5
9.1,1.15,187.8
20.7,1.73,148.10001
20.1,3.45,128.7
12.8,3.57,131.60001
12.5,3.8,134.60001
10.1,2.76,150.2
8.7,3.34,111.7
7.4,3.34,140.39999
6.9,2.19,123.6
4.3,2.76,126.6
12.9,2.88,140.60001
10.8,2.53,131.39999
16.0,2.99,143.8
15.9,2.88,155.0
21.0,4.03,146.7
11.0,5.3,166.3
8.0,4.03,176.7
7.7,4.38,150.8
5.3,2.88,184.0
12.0,1.96,126.2
8.0,2.07,149.89999
6.5,2.53,145.8
6.8,0.81,153.60001
7.3,1.84,319.70001
16.1,2.07,305.0
12.2,0.92,296.10001
28.4,0.46,347.79999
24.4,0.69,352.29999
12.8,1.15,3.0
17.9,1.73,353.70001
11.8,0.92,12.6
21.6,1.04,87.0
21.1,0.92,86.0
21.9,0.92,161.39999
25.6,0.12,141.5
18.8,0.35,260.29999
31.7,0.58,167.89999
57.1,0.81,118.9
36.4,1.73,116.7
18.8,2.3,147.39999
19.3,3.45,136.7
13.6,4.03,166.8
16.1,3.57,148.3
10.7,3.45,142.8
9.3,1.15,180.60001
6.1,1.96,39.900002
9.7,2.76,339.5
14.4,2.99,8.5
16.5,2.19,23.700001
18.3,2.53,24.200001
17.0,2.19,28.1
17.9,2.53,28.1
15.7,1.96,21.799999
21.4,2.65,57.5
28.2,1.04,181.2
26.5,0.81,300.60001
22.4,0.69,295.89999
23.9,0.58,200.3
24.7,1.04,294.39999
29.3,0.12,177.3
28.7,1.38,36.200001
25.6,1.5,30.700001
19.6,2.42,106.8
7.2,2.65,144.3
14.5,3.22,309.0
16.5,4.26,340.29999
14.1,3.69,353.0
14.8,3.8,330.10001
13.7,2.3,353.79999
12.6,3.45,305.89999
7.9,3.11,317.70001
6.3,3.45,354.39999
9.3,3.45,18.799999
7.6,4.72,22.9
5.2,3.8,13.2
4.4,3.22,23.200001
12.2,2.88,19.700001
9.6,1.5,6.6999998
7.2,2.07,323.89999
6.6,3.57,317.60001
8.6,1.61,298.70001
10.6,2.07,176.3
11.5,3.11,171.89999
8.6,5.53,174.3
5.1,6.45,183.39999
13.4,8.29,187.39999
8.6,9.44,189.3
4.4,9.9,191.3
2.4,10.02,187.5
3.1,9.21,185.0
3.3,8.18,190.89999
2.0,9.21,195.7
3.6,10.94,195.3
5.0,11.75,191.8
4.6,9.56,192.60001
5.1,8.64,194.10001
4.3,5.64,210.7
1.0,3.34,240.0
1.4,2.42,221.10001
2.3,2.99,219.2
2.7,3.8,205.2
1.8,4.95,216.60001
4.4,4.15,207.0
6.0,4.38,208.89999
4.6,3.8,243.10001
6.0,1.96,228.3
3.9,2.07,236.39999
3.7,2.76,200.60001
4.6,3.45,245.3
3.2,2.76,294.60001
3.0,0.81,248.2
1.8,2.42,221.8
0.8,2.88,236.5
1.6,2.3,212.2
3.2,3.22,274.60001
4.0,2.99,302.79999
1.9,2.3,111.0
2.5,4.61,128.2
11.0,2.88,150.0
9.7,2.53,134.89999
14.2,3.92,121.3
8.8,4.26,131.89999
7.3,3.57,142.60001
7.1,3.22,131.3
8.1,3.11,118.1
5.2,3.57,123.3
8.1,3.92,134.3
7.3,1.96,155.10001
6.9,3.8,130.8
7.6,4.26,135.8
15.4,3.69,139.7
18.4,4.61,155.8
6.9,5.3,186.8
9.3,6.1,168.2
7.5,5.41,181.0
9.0,3.92,179.8
7.5,1.73,144.3
5.0,3.22,146.39999
8.4,2.99,175.89999
7.3,3.69,185.89999
11.2,2.65,145.5
13.7,2.65,120.5
10.2,1.61,136.3
14.5,1.27,138.10001
19.4,2.19,132.0
13.3,2.42,135.10001
8.5,2.65,133.60001
6.2,2.42,123.6
6.4,2.99,113.7
7.2,3.11,107.7
9.0,3.11,108.3
8.8,2.76,117.6
5.9,1.96,108.8
6.2,2.53,108.0
21.5,4.03,111.8
20.0,3.8,131.89999
10.6,3.57,152.8
25.4,3.69,167.2
16.9,3.22,161.2
10.9,1.84,217.89999
16.0,2.65,305.79999
15.0,2.19,300.89999
17.6,3.45,76.199997
16.0,2.76,292.20001
14.3,2.53,312.10001
12.6,2.53,17.299999
14.2,4.72,47.599998
18.3,0.35,120.2
19.1,1.73,225.3
11.5,3.57,186.60001
9.3,7.6,154.60001
3.5,10.82,162.0
-0.8,9.21,153.8
-0.4,9.56,164.60001
1.2,3.92,167.0
1.4,4.03,335.0
0.8,3.45,73.199997
7.2,7.25,152.10001
8.3,10.02,147.2
5.8,11.52,150.8
2.0,9.9,150.3
6.7,8.41,156.8
9.0,6.56,158.10001
9.0,5.3,147.60001
5.1,3.34,156.7
7.6,1.61,297.20001
7.2,2.19,306.60001
7.9,0.81,299.5
18.2,2.42,226.8
16.8,5.87,179.8
7.7,5.64,181.5
19.6,9.9,166.5
9.2,11.86,163.5
10.8,11.29,160.7
7.8,10.25,155.39999
3.7,13.01,161.7
2.7,12.9,158.39999
8.8,14.97,159.0
5.3,13.59,167.2
5.9,9.56,174.89999
4.5,10.36,175.3
1.8,10.13,206.3
9.4,9.79,219.39999
6.0,11.75,235.5
5.6,9.56,236.39999
3.8,6.1,238.39999
0.5,7.37,216.39999
-0.7,9.56,218.39999
6.1,9.1,225.2
4.5,9.56,219.7
7.4,9.21,225.8
8.3,7.02,197.89999
8.8,6.1,199.39999
9.4,7.02,166.60001
10.8,7.95,167.2
9.6,9.56,181.89999
9.7,6.68,191.8
6.3,8.64,196.10001
4.2,8.64,188.60001
4.7,8.06,198.10001
